               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076654,            0.055891,            0.017158,             0.16305,             0.42139,             0.15931,            0.047458,            0.060265,             0.02497,           0.0064596,            0.070038,           0.0033291,           0.0033291
                   1,            0.056707,             0.03408,           0.0073853,             0.51296,             0.45732,             0.43613,             0.14963,             0.05081,            0.020946,           0.0047058,            0.040005,           0.0066295,           0.0066295
                   2,            0.051383,            0.031738,           0.0051902,             0.61403,              0.5462,             0.56311,             0.22535,            0.048018,            0.019851,           0.0036567,           0.0099388,           0.0098968,           0.0098968
                   3,            0.047395,            0.030783,           0.0049877,             0.65192,             0.58991,              0.6301,             0.27758,             0.04333,            0.018736,           0.0028715,           0.0098515,           0.0098515,           0.0098515
                   4,            0.044664,            0.029693,           0.0045179,             0.69747,             0.57604,             0.63982,             0.29581,            0.044185,            0.018629,           0.0042749,           0.0098515,           0.0098515,           0.0098515
                   5,            0.043308,            0.029233,           0.0042649,             0.67318,             0.63494,             0.67672,             0.31822,             0.04102,            0.018027,           0.0026438,            0.009802,            0.009802,            0.009802
                   6,            0.042661,            0.029145,           0.0041894,             0.64722,             0.60904,             0.63791,             0.29222,             0.04427,            0.017995,           0.0040461,           0.0097525,           0.0097525,           0.0097525
                   7,            0.041437,            0.028234,           0.0041654,             0.70235,             0.63467,             0.67726,              0.3294,            0.041514,            0.017821,           0.0027338,            0.009703,            0.009703,            0.009703
                   8,            0.040559,            0.028232,           0.0037062,             0.69956,             0.67069,             0.71715,             0.35777,            0.039475,            0.017238,           0.0024737,           0.0096535,           0.0096535,           0.0096535
                   9,            0.040259,            0.028087,           0.0038322,             0.74336,             0.67941,             0.73698,             0.37113,            0.038918,            0.016992,           0.0024668,            0.009604,            0.009604,            0.009604
                  10,            0.039789,            0.027865,           0.0037749,             0.72875,             0.68591,             0.73547,             0.37098,            0.038505,             0.01725,           0.0022943,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039317,            0.027595,           0.0035755,               0.729,             0.70451,             0.75382,             0.39287,            0.037899,            0.016622,           0.0022132,            0.009505,            0.009505,            0.009505
                  12,            0.039141,            0.027564,           0.0036878,             0.72604,             0.70654,             0.75654,             0.39614,            0.037479,            0.016681,           0.0022612,           0.0094555,           0.0094555,           0.0094555
                  13,            0.038539,            0.027271,           0.0035862,             0.75531,             0.71052,             0.76793,             0.40422,            0.037007,            0.016234,           0.0021852,            0.009406,            0.009406,            0.009406
                  14,            0.038419,            0.027145,           0.0035597,             0.76407,             0.71074,             0.77893,             0.41561,            0.036427,            0.016129,           0.0020938,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038038,            0.026952,           0.0034778,             0.74753,             0.73153,             0.78952,             0.43057,            0.035828,            0.015955,           0.0021048,            0.009307,            0.009307,            0.009307
                  16,            0.037914,            0.026856,           0.0033766,             0.75753,             0.74381,             0.80075,             0.43665,            0.035653,             0.01587,           0.0020086,           0.0092575,           0.0092575,           0.0092575
                  17,            0.037394,            0.026837,           0.0033749,             0.74661,             0.72937,             0.79383,             0.43919,            0.035673,            0.015807,           0.0022052,            0.009208,            0.009208,            0.009208
                  18,            0.037227,            0.026648,           0.0033382,             0.78085,             0.72972,             0.80498,             0.44862,             0.03512,            0.015613,           0.0020791,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037017,            0.026411,           0.0031082,             0.75387,             0.75839,              0.8021,             0.44314,            0.034948,             0.01556,           0.0020022,            0.009109,            0.009109,            0.009109
                  20,            0.036842,            0.026348,           0.0031847,             0.78255,             0.74734,              0.8141,             0.45467,            0.034924,            0.015433,           0.0018678,           0.0090595,           0.0090595,           0.0090595
                  21,            0.036476,            0.026428,           0.0031505,             0.77593,             0.74905,             0.81678,             0.45886,            0.034854,            0.015338,           0.0018444,             0.00901,             0.00901,             0.00901
                  22,            0.036264,            0.026009,           0.0031206,              0.7696,             0.75798,             0.81595,             0.46014,            0.034268,            0.015293,           0.0017927,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036084,            0.025902,           0.0029249,             0.78615,             0.75311,             0.81801,             0.46395,             0.03431,            0.015238,           0.0018349,            0.008911,            0.008911,            0.008911
                  24,            0.035913,            0.026066,           0.0030144,             0.77793,             0.75939,             0.82096,             0.46404,            0.034299,            0.015132,           0.0019569,           0.0088615,           0.0088615,           0.0088615
                  25,            0.035901,            0.026004,           0.0029701,             0.78845,             0.77357,             0.83692,             0.47768,             0.03369,            0.015007,           0.0017316,            0.008812,            0.008812,            0.008812
                  26,            0.035624,            0.026077,           0.0029507,             0.80659,             0.76264,             0.84644,              0.4853,            0.033179,            0.014749,           0.0017713,           0.0087625,           0.0087625,           0.0087625
                  27,            0.035469,            0.025799,           0.0027553,             0.80079,             0.79212,             0.84725,             0.48831,            0.033304,            0.014609,           0.0017325,            0.008713,            0.008713,            0.008713
                  28,            0.035199,            0.025503,           0.0029425,             0.80114,             0.77625,             0.84386,             0.49021,            0.033156,            0.014608,           0.0017483,           0.0086635,           0.0086635,           0.0086635
                  29,            0.035174,             0.02588,           0.0028448,             0.81071,             0.78074,              0.8508,             0.50144,            0.032973,            0.014496,           0.0016911,            0.008614,            0.008614,            0.008614
                  30,            0.035032,            0.025449,           0.0029813,              0.7997,             0.80154,             0.85227,             0.50132,            0.032746,            0.014398,           0.0016162,           0.0085645,           0.0085645,           0.0085645
                  31,            0.034915,            0.025393,           0.0028073,             0.80105,             0.80234,             0.85552,             0.50069,            0.032324,            0.014402,           0.0015986,            0.008515,            0.008515,            0.008515
                  32,            0.034793,            0.025254,           0.0026711,              0.8073,              0.7957,             0.85821,             0.50994,            0.032272,            0.014267,           0.0016187,           0.0084655,           0.0084655,           0.0084655
                  33,            0.034402,              0.0251,           0.0025891,             0.81495,             0.78834,             0.85943,             0.50982,            0.032113,            0.014232,            0.001525,            0.008416,            0.008416,            0.008416
                  34,            0.034298,            0.025293,           0.0025794,             0.81188,             0.82137,             0.87041,             0.51533,            0.032296,             0.01407,           0.0015154,           0.0083665,           0.0083665,           0.0083665
                  35,             0.03411,            0.024998,            0.002573,             0.81739,             0.82653,             0.87604,             0.52242,            0.031716,            0.014021,           0.0014691,            0.008317,            0.008317,            0.008317
                  36,            0.034142,            0.024904,           0.0025346,             0.84836,             0.80409,             0.88173,             0.52762,            0.031465,            0.013932,           0.0014297,           0.0082675,           0.0082675,           0.0082675
                  37,            0.034076,             0.02501,           0.0026002,             0.81713,             0.82824,              0.8781,             0.53104,            0.031306,            0.013865,           0.0015363,            0.008218,            0.008218,            0.008218
                  38,            0.033866,            0.024984,           0.0025772,             0.82666,             0.82155,             0.87735,             0.53377,            0.031174,            0.013802,           0.0013261,           0.0081685,           0.0081685,           0.0081685
                  39,            0.033583,            0.024753,            0.002444,              0.8285,             0.82814,             0.88103,             0.53325,            0.031114,            0.013779,           0.0014631,            0.008119,            0.008119,            0.008119
                  40,            0.033512,            0.024764,           0.0023654,             0.81768,             0.84485,             0.88211,             0.54028,            0.030947,            0.013745,           0.0014172,           0.0080695,           0.0080695,           0.0080695
                  41,            0.033486,            0.024779,           0.0024441,             0.85027,              0.8155,             0.88601,             0.54294,            0.030753,            0.013597,           0.0013108,             0.00802,             0.00802,             0.00802
