               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07476,            0.032943,            0.013694,             0.34848,             0.40853,             0.29051,            0.080267,             0.05812,            0.020254,           0.0039669,            0.070038,           0.0033291,           0.0033291
                   1,            0.056689,            0.029248,           0.0057292,             0.53707,             0.50894,             0.50238,             0.18188,            0.049025,            0.017802,           0.0037973,            0.040005,           0.0066295,           0.0066295
                   2,            0.051718,            0.028434,           0.0049408,             0.47454,             0.50289,             0.42975,             0.16437,             0.05022,            0.019076,           0.0044357,           0.0099388,           0.0098968,           0.0098968
                   3,            0.048082,            0.028129,           0.0049506,             0.64059,             0.52637,             0.56934,             0.25516,            0.044337,             0.01801,           0.0033816,           0.0098515,           0.0098515,           0.0098515
                   4,             0.04571,            0.027318,           0.0045757,             0.68001,             0.59625,             0.65123,             0.30619,            0.041902,            0.016426,           0.0025893,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04455,            0.026967,             0.00421,             0.64347,             0.61006,             0.65518,             0.31829,             0.04066,            0.016343,           0.0029551,            0.009802,            0.009802,            0.009802
                   6,            0.043845,            0.026975,           0.0041782,             0.68979,             0.63484,             0.68082,             0.32468,            0.040355,            0.016037,           0.0028456,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04281,            0.026258,           0.0041755,              0.6442,             0.66529,             0.68839,              0.3305,            0.039589,            0.015937,           0.0023405,            0.009703,            0.009703,            0.009703
                   8,            0.042266,            0.026278,           0.0037518,             0.65311,             0.68604,             0.68898,             0.33978,            0.038892,            0.016209,           0.0023267,           0.0096535,           0.0096535,           0.0096535
                   9,            0.041921,            0.026244,           0.0039095,             0.71137,             0.64969,             0.70835,             0.35478,            0.038948,            0.015735,           0.0025217,            0.009604,            0.009604,            0.009604
                  10,            0.041631,            0.026103,            0.003773,             0.70182,             0.66782,             0.71391,              0.3573,            0.038329,            0.015686,            0.002215,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041256,            0.025874,           0.0036586,             0.69487,             0.69622,             0.71962,             0.36255,            0.038217,            0.015674,           0.0021444,            0.009505,            0.009505,            0.009505
                  12,            0.040905,            0.025889,           0.0036871,             0.68489,             0.68528,             0.72363,             0.37361,             0.03746,            0.015421,           0.0021542,           0.0094555,           0.0094555,           0.0094555
                  13,            0.040425,             0.02579,           0.0036222,              0.7133,             0.68657,             0.73181,             0.37734,            0.037666,            0.015316,           0.0023299,            0.009406,            0.009406,            0.009406
                  14,            0.040387,            0.025547,           0.0035296,             0.73966,             0.69492,             0.75845,             0.39505,            0.036602,            0.014949,           0.0018067,           0.0093565,           0.0093565,           0.0093565
                  15,            0.040082,            0.025543,           0.0035851,             0.71057,             0.69811,             0.75682,              0.3942,            0.036648,            0.014989,           0.0018679,            0.009307,            0.009307,            0.009307
                  16,            0.040019,            0.025439,           0.0034134,             0.71301,             0.71879,             0.76022,             0.40078,            0.036973,            0.014957,            0.001896,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039504,            0.025392,           0.0034839,             0.75994,             0.68436,             0.76172,             0.40461,            0.036663,             0.01491,           0.0019074,            0.009208,            0.009208,            0.009208
                  18,            0.039373,             0.02526,            0.003313,              0.7287,             0.72163,             0.77147,             0.41864,              0.0356,            0.014671,           0.0018817,           0.0091585,           0.0091585,           0.0091585
                  19,            0.039276,            0.025005,           0.0031858,             0.73125,             0.71542,             0.76575,             0.40247,            0.036115,            0.014818,           0.0018343,            0.009109,            0.009109,            0.009109
                  20,            0.039194,            0.025113,           0.0032731,             0.74207,             0.73056,              0.7817,             0.41244,            0.035641,            0.014696,           0.0017433,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038977,             0.02517,           0.0030796,             0.75822,             0.71516,             0.78847,              0.4221,            0.035184,            0.014478,           0.0018585,             0.00901,             0.00901,             0.00901
                  22,            0.038799,            0.024804,            0.003037,             0.75145,             0.73069,             0.79106,             0.42165,            0.035638,            0.014381,           0.0017414,           0.0089605,           0.0089605,           0.0089605
                  23,            0.038519,            0.024689,           0.0029255,             0.74302,             0.73561,             0.78172,             0.42633,            0.035494,            0.014456,           0.0016616,            0.008911,            0.008911,            0.008911
                  24,            0.038504,            0.024915,           0.0029763,             0.74924,              0.7406,             0.79749,             0.43331,            0.035038,            0.014283,            0.001616,           0.0088615,           0.0088615,           0.0088615
                  25,             0.03838,            0.024882,           0.0030341,             0.73265,             0.74397,             0.79236,             0.43237,             0.03505,            0.014324,            0.001572,            0.008812,            0.008812,            0.008812
                  26,            0.038212,            0.024979,           0.0030422,             0.74067,             0.75272,             0.80482,             0.44129,            0.034383,            0.014169,           0.0015042,           0.0087625,           0.0087625,           0.0087625
                  27,             0.03819,            0.024814,           0.0028103,             0.76905,             0.75437,             0.80354,             0.44164,            0.034662,            0.014081,           0.0014643,            0.008713,            0.008713,            0.008713
                  28,            0.037801,            0.024524,           0.0029382,             0.76159,             0.74975,             0.80886,             0.44594,            0.034274,            0.014056,           0.0015588,           0.0086635,           0.0086635,           0.0086635
                  29,            0.037955,            0.024858,           0.0029277,             0.77049,             0.74814,              0.8092,             0.45016,            0.034322,             0.01399,           0.0015533,            0.008614,            0.008614,            0.008614
                  30,            0.037765,            0.024491,           0.0029764,             0.75206,             0.76497,              0.8165,             0.45411,            0.033977,            0.013892,           0.0014611,           0.0085645,           0.0085645,           0.0085645
                  31,            0.037523,             0.02449,           0.0027567,             0.78513,             0.75389,             0.82681,             0.45899,            0.033943,             0.01385,            0.001429,            0.008515,            0.008515,            0.008515
                  32,            0.037571,            0.024303,           0.0026769,              0.7775,             0.76661,             0.81942,              0.4584,            0.033706,            0.013813,           0.0013566,           0.0084655,           0.0084655,           0.0084655
                  33,            0.037204,            0.024217,           0.0026966,             0.77894,             0.74803,             0.82125,             0.45674,            0.033675,            0.013876,           0.0013509,            0.008416,            0.008416,            0.008416
                  34,            0.037054,            0.024392,           0.0025596,             0.78658,             0.75654,             0.82674,             0.45908,            0.033654,            0.013821,           0.0013376,           0.0083665,           0.0083665,           0.0083665
                  35,             0.03701,            0.024192,           0.0026137,              0.7794,             0.76077,             0.82803,             0.46231,            0.033342,            0.013763,            0.001247,            0.008317,            0.008317,            0.008317
                  36,            0.037021,            0.024146,           0.0027445,             0.77775,             0.77132,             0.82844,              0.4665,            0.033386,            0.013666,            0.001313,           0.0082675,           0.0082675,           0.0082675
                  37,            0.037091,            0.024289,           0.0026609,              0.7817,             0.77275,             0.83782,             0.47114,            0.033328,            0.013642,           0.0014081,            0.008218,            0.008218,            0.008218
                  38,            0.036977,            0.024303,             0.00273,             0.77559,             0.78402,             0.83835,             0.47562,            0.032962,            0.013616,           0.0012667,           0.0081685,           0.0081685,           0.0081685
                  39,            0.036575,            0.024072,           0.0024946,             0.76977,              0.7849,             0.83545,              0.4748,            0.032759,             0.01353,           0.0013466,            0.008119,            0.008119,            0.008119
                  40,            0.036533,            0.024092,           0.0025089,             0.78158,             0.79413,             0.84183,             0.48331,            0.032514,            0.013463,           0.0013463,           0.0080695,           0.0080695,           0.0080695
                  41,            0.036357,            0.024107,           0.0025626,             0.79085,             0.77168,             0.84021,             0.48423,            0.032659,            0.013385,           0.0013636,             0.00802,             0.00802,             0.00802
